delta_t,element_id,N1,V1,M1,N2,V2,M2
1, 1, 0, 0, -0, 0, -0, 0 
2, 1, 4.63869e-16, -0.0757576, 0.0378788, -4.63869e-16, -0.0757576, -0.0378788 
3, 1, 2.41212e-15, -0.393939, 0.19697, -2.41212e-15, -0.393939, -0.19697 
4, 1, 6.95803e-15, -1.13636, 0.568182, -6.95803e-15, -1.13636, -0.568182 
5, 1, 1.52149e-14, -2.48485, 1.24242, -1.52149e-14, -2.48485, -1.24242 
6, 1, 2.8296e-14, -4.62121, 2.31061, -2.8296e-14, -4.62121, -2.31061 
7, 1, 4.73146e-14, -7.72727, 3.86364, -4.73146e-14, -7.72727, -3.86364 
8, 1, 7.3384e-14, -11.9848, 5.99242, -7.3384e-14, -11.9848, -5.99242 
9, 1, 1.07618e-13, -17.5758, 8.78788, -1.07618e-13, -17.5758, -8.78788 
10, 1, 1.51128e-13, -24.6818, 12.3409, -1.51128e-13, -24.6818, -12.3409 
11, 1, 2.0503e-13, -33.4848, 16.7424, -2.0503e-13, -33.4848, -16.7424 
12, 1, 2.69508e-13, -44.0152, 22.0076, -2.69508e-13, -44.0152, -22.0076 
13, 1, 3.43634e-13, -56.1212, 28.0606, -3.43634e-13, -56.1212, -28.0606 
14, 1, 4.26295e-13, -69.6212, 34.8106, -4.26295e-13, -69.6212, -34.8106 
15, 1, 5.16379e-13, -84.3333, 42.1667, -5.16379e-13, -84.3333, -42.1667 
16, 1, 6.12771e-13, -100.076, 50.0379, -6.12771e-13, -100.076, -50.0379 
17, 1, 7.14358e-13, -116.667, 58.3333, -7.14358e-13, -116.667, -58.3333 
18, 1, 8.20027e-13, -133.924, 66.9621, -8.20027e-13, -133.924, -66.9621 
19, 1, 9.28665e-13, -151.667, 75.8333, -9.28665e-13, -151.667, -75.8333 
20, 1, 1.03916e-12, -169.712, 84.8561, -1.03916e-12, -169.712, -84.8561 
21, 1, 1.15039e-12, -187.879, 93.9394, -1.15039e-12, -187.879, -93.9394 
22, 1, 1.26126e-12, -205.985, 102.992, -1.26126e-12, -205.985, -102.992 
23, 1, 1.37064e-12, -223.848, 111.924, -1.37064e-12, -223.848, -111.924 
24, 1, 1.47742e-12, -241.288, 120.644, -1.47742e-12, -241.288, -120.644 
25, 1, 1.58049e-12, -258.121, 129.061, -1.58049e-12, -258.121, -129.061 
26, 1, 1.67874e-12, -274.167, 137.083, -1.67874e-12, -274.167, -137.083 
27, 1, 1.77105e-12, -289.242, 144.621, -1.77105e-12, -289.242, -144.621 
28, 1, 1.85631e-12, -303.167, 151.583, -1.85631e-12, -303.167, -151.583 
29, 1, 1.9334e-12, -315.758, 157.879, -1.9334e-12, -315.758, -157.879 
30, 1, 2.00122e-12, -326.833, 163.417, -2.00122e-12, -326.833, -163.417 
31, 1, 2.05865e-12, -336.212, 168.106, -2.05865e-12, -336.212, -168.106 
32, 1, 2.1055e-12, -343.864, 171.932, -2.1055e-12, -343.864, -171.932 
33, 1, 2.1427e-12, -349.939, 174.97, -2.1427e-12, -349.939, -174.97 
34, 1, 2.17137e-12, -354.621, 177.311, -2.17137e-12, -354.621, -177.311 
35, 1, 2.19261e-12, -358.091, 179.045, -2.19261e-12, -358.091, -179.045 
36, 1, 2.20755e-12, -360.53, 180.265, -2.20755e-12, -360.53, -180.265 
37, 1, 2.21729e-12, -362.121, 181.061, -2.21729e-12, -362.121, -181.061 
38, 1, 2.22295e-12, -363.045, 181.523, -2.22295e-12, -363.045, -181.523 
39, 1, 2.22564e-12, -363.485, 181.742, -2.22564e-12, -363.485, -181.742 
