delta_t,node_id,x,y,z
1, 1, 0, 0, 0 
1, 2, 0, 1, 0 
2, 1, 0, 0, 0 
2, 2, -1.34926e-05, 1, -2.13925e-07 
3, 1, 0, 0, 0 
3, 2, -4.04777e-05, 1, 2.13925e-07 
4, 1, 0, 0, 0 
4, 2, -8.09555e-05, 1, 8.55702e-07 
5, 1, 0, 0, 0 
5, 2, -0.000134926, 1, 1.7114e-06 
6, 1, 0, 0, 0 
6, 2, -0.000202389, 1, 2.78103e-06 
7, 1, 0, 0, 0 
7, 2, -0.000283344, 1, 4.06458e-06 
8, 1, 0, 0, 0 
8, 2, -0.000377792, 1, 5.56206e-06 
9, 1, 0, 0, 0 
9, 2, -0.000485733, 1, 7.27347e-06 
10, 1, 0, 0, 0 
10, 2, -0.000607166, 1, 9.1988e-06 
11, 1, 0, 0, 0 
11, 2, -0.000742092, 1, 1.13381e-05 
12, 1, 0, 0, 0 
12, 2, -0.000863525, 1, 1.32634e-05 
13, 1, 0, 0, 0 
13, 2, -0.000971466, 1, 1.49748e-05 
14, 1, 0, 0, 0 
14, 2, -0.00106591, 1, 1.64723e-05 
15, 1, 0, 0, 0 
15, 2, -0.00114687, 1, 1.77558e-05 
16, 1, 0, 0, 0 
16, 2, -0.00121433, 1, 1.88254e-05 
17, 1, 0, 0, 0 
17, 2, -0.0012683, 1, 1.96812e-05 
18, 1, 0, 0, 0 
18, 2, -0.00130878, 1, 2.03229e-05 
19, 1, 0, 0, 0 
19, 2, -0.00133577, 1, 2.07508e-05 
20, 1, 0, 0, 0 
20, 2, -0.00134926, 1, 2.09647e-05 
21, 1, 0, 0, 0 
21, 2, -0.00134926, 1, 2.09647e-05 
22, 1, 0, 0, 0 
22, 2, -0.00133577, 1, 2.07508e-05 
23, 1, 0, 0, 0 
23, 2, -0.00130878, 1, 2.03229e-05 
24, 1, 0, 0, 0 
24, 2, -0.0012683, 1, 1.96812e-05 
25, 1, 0, 0, 0 
25, 2, -0.00121433, 1, 1.88254e-05 
26, 1, 0, 0, 0 
26, 2, -0.00114687, 1, 1.77558e-05 
27, 1, 0, 0, 0 
27, 2, -0.00106591, 1, 1.64723e-05 
28, 1, 0, 0, 0 
28, 2, -0.000971466, 1, 1.49748e-05 
29, 1, 0, 0, 0 
29, 2, -0.000863525, 1, 1.32634e-05 
30, 1, 0, 0, 0 
30, 2, -0.000742092, 1, 1.13381e-05 
31, 1, 0, 0, 0 
31, 2, -0.000607166, 1, 9.19879e-06 
32, 1, 0, 0, 0 
32, 2, -0.000485733, 1, 7.27346e-06 
33, 1, 0, 0, 0 
33, 2, -0.000377792, 1, 5.56206e-06 
34, 1, 0, 0, 0 
34, 2, -0.000283344, 1, 4.06458e-06 
35, 1, 0, 0, 0 
35, 2, -0.000202389, 1, 2.78103e-06 
36, 1, 0, 0, 0 
36, 2, -0.000134926, 1, 1.7114e-06 
37, 1, 0, 0, 0 
37, 2, -8.09555e-05, 1, 8.55699e-07 
38, 1, 0, 0, 0 
38, 2, -4.04777e-05, 1, 2.13923e-07 
39, 1, 0, 0, 0 
39, 2, -1.34926e-05, 1, -2.13928e-07 
40, 1, 0, 0, 0 
40, 2, -1.68041e-12, 1, -4.27853e-07 
